MAC,Vendor,Country
38-FC-34,Huawei Device Co._ Ltd.,CN
3C-F6-92,Huawei Device Co._ Ltd.,CN
94-0E-E7,HUAWEI TECHNOLOGIES CO._LTD,CN
A8-B2-71,HUAWEI TECHNOLOGIES CO._LTD,CN
64-05-E4,ALPSALPINE CO_.LTD,JP
6C-0C-9A,Amazon Technologies Inc.,US
CC-00-F1,Sagemcom Broadband SAS,FR
30-82-16,Apple_ Inc.,US
C4-A0-52,Motorola Mobility LLC_ a Lenovo Company,US
84-90-0A,Arcadyan Corporation,TW
78-76-89,eero inc.,US
48-77-06,NXP Semiconductor (Tianjin) LTD.,CN
0C-CC-47,IEEE Registration Authority,US
5C-3E-06,Cisco Systems_ Inc,US
C8-28-E5,Cisco Systems_ Inc,US
8C-D0-B2,Beijing Xiaomi Mobile Software Co._ Ltd,CN
B0-FC-88,Sagemcom Broadband SAS,FR
34-87-3D,Quectel Wireless Solutions Co._Ltd.,CN
C4-41-37,Quectel Wireless Solutions Co._Ltd.,CN
D8-21-DA,SERNET (SUZHOU) TECHNOLOGIES CORPORATION,CN
08-F1-B3,Cisco Meraki,US
BC-E8-FA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
10-D6-80,Tendyron Corporation,CN
F4-1A-9C,Xiaomi Communications Co Ltd,CN
00-3E-73,Mist Systems_ Inc.,US
0C-FC-18,HUAWEI TECHNOLOGIES CO._LTD,CN
80-76-C2,GD Midea Air-Conditioning Equipment Co._Ltd.,CN
F0-4A-3D,Bosch Thermotechnik GmbH,DE
94-1F-A2,Wuhan YuXin Semiconductor Co._ Ltd.,CN
6C-D1-99,vivo Mobile Communication Co._ Ltd.,CN
B4-9D-FD,Shenzhen SDMC Technology CO._Ltd.,CN
80-AB-4D,Nokia Solutions and Networks GmbH & Co. KG,DE
4C-BA-7D,Gemtek Technology Co._ Ltd.,TW
00-1A-EB,Allied Telesis K.K.,JP
DC-06-82,Accessia Technology Ltd.,GB
44-D2-67,Snorble,US
B0-BC-7A,Harman/Becker Automotive Systems GmbH,DE
F0-22-1D,IEEE Registration Authority,US
9C-54-40,ChengDu TD Tech,CN
50-26-EF,Murata Manufacturing Co._ Ltd.,JP
74-05-7C,Qorvo International Pte. Ltd.,SG
D0-40-BE,NPO RPS LLC,RU
F4-4D-AD,Cable Matters Inc.,US
FC-33-57,KAGA FEI Co._ Ltd.,JP
50-02-38,Nokia Shanghai Bell Co._ Ltd.,CN
AC-AD-4B,zte corporation,CN
A8-16-9D,Hui Zhou Gaoshengda Technology Co._LTD,CN
44-49-88,Intel Corporate,MY
FC-91-89,Sichuan Tianyi Comheart Telecom Co._LTD,CN
F8-F0-C5,Suzhou Kuhan Information Technologies Co._Ltd.,CN
F8-DE-73,HUAWEI TECHNOLOGIES CO._LTD,CN
EC-1A-02,HUAWEI TECHNOLOGIES CO._LTD,CN
1C-1A-1B,Shanghai Sunmi Technology Co._Ltd.,CN
80-38-D4,Fibercentury Network Technology Co._Ltd.,CN
7C-29-6F,Apple_ Inc.,US
40-ED-CF,Apple_ Inc.,US
8C-98-6B,Apple_ Inc.,US
1C-86-82,Apple_ Inc.,US
80-54-E3,Apple_ Inc.,US
10-2E-00,Intel Corporate,MY
20-3A-43,Intel Corporate,MY
3C-3B-99,ITEL MOBILE LIMITED,HK
D0-09-C8,Cisco Systems_ Inc,US
D0-39-57,Liteon Technology Corporation,TW
48-E7-29,Espressif Inc.,CN
E8-BA-E2,Xplora Technologies AS,NO
5C-A0-6C,Realme Chongqing Mobile Telecommunications Corp._Ltd.,CN
A8-3B-76,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,CN
9C-DE-4D,ML vision Co._LTD,KR
20-31-8D,Giax GmbH,DE
3C-B0-7E,Arounds Intelligent Equipment Co._ Ltd.,CN
C0-4E-8A,HUAWEI TECHNOLOGIES CO._LTD,CN
68-41-8F,Telechips_ Inc.,KR
BC-9E-BB,Nintendo Co._Ltd,JP
90-27-78,Open Infrastructure,CH
90-DA-F9,Siemens Rail Automation SAU,ES
F8-00-9D,INTRACOM DEFENSE S.A.,GR
20-16-42,Microsoft Corporation,US
CC-8D-B5,Shenzhen SuperElectron Technology Co._Ltd.,CN
AC-EE-64,Shenzhen SuperElectron Technology Co._Ltd.,CN
68-EE-4B,Sharetronic Data Technology Co._Ltd,CN
48-C3-5A,LENOVO(BEIJING)CO._ LTD.,CN
B4-DB-91,CELESTICA INC.,CA
44-64-3C,Cisco Systems_ Inc,US
24-16-1B,Cisco Systems_ Inc,US
A8-40-0B,Visteon Corporation,US
08-56-9B,WiZ,HK
60-70-6C,Google_ Inc.,US
C8-2A-DD,Google_ Inc.,US
24/9/35,Samsung Electronics Co._Ltd,KR
8C-94-6A,New H3C Technologies Co._ Ltd,CN
FC-11-65,Cambium Networks Limited,GB
40-E1-1C,shenzhen Cloud High Communication Technology Co._Ltd,CN
C0-BF-AC,Huawei Device Co._ Ltd.,CN
44-27-2E,Huawei Device Co._ Ltd.,CN
10-66-50,Robert Bosch JuP1,MX
A8-0C-03,Florawise,TR
C4-83-72,IEEE Registration Authority,US
C0-A5-E8,Intel Corporate,MY
90-65-84,Intel Corporate,MY
28-C5-D2,Intel Corporate,MY
08-1A-FD,Huawei Device Co._ Ltd.,CN
00-12-F3,u-blox AG,SE
54-70-68,VTech Communications Limited,HK
C8-40-52,PAX Computer Technology(Shenzhen) Ltd.,CN
C4-61-C7,Microsoft Corporation,US
AC-CB-36,Fiberhome Telecommunication Technologies Co._LTD,CN
FC-DF-00,GD Midea Air-Conditioning Equipment Co._Ltd.,CN
1C-8B-76,Calix Inc.,US
E4-8C-73,Realme Chongqing Mobile Telecommunications Corp._Ltd.,CN
2C-B6-C8,Raisecom Technology CO._ LTD,CN
D8-34-D1,Shenzhen Orange Digital Technology Co._Ltd,CN
84-22-89,Samsung Electronics Co._Ltd,KR
2C-94-52,HUAWEI TECHNOLOGIES CO._LTD,CN
60-01-B1,HUAWEI TECHNOLOGIES CO._LTD,CN
5C-BB-EE,zte corporation,CN
84-AA-A4,SONoC Corp.,TW
88-3C-93,Alcatel-Lucent Enterprise,US
D0-06-6A,Cornelis Networks_ Inc.,US
88-3C-C5,IEEE Registration Authority,US
2C-9E-00,Sony Interactive Entertainment Inc.,JP
DC-6A-E7,Xiaomi Communications Co Ltd,CN
7C-A4-49,Xiaomi Communications Co Ltd,CN
98-20-44,New H3C Technologies Co._ Ltd,CN
D8-A0-E8,zte corporation,CN
E8-BF-DB,Inodesign Group,FR
28-7E-80,Hui Zhou Gaoshengda Technology Co._LTD,CN
0C-9F-71,Dolphin Electronics (DongGuan) Co._ Ltd.,CN
74-58-89,Multilaser Industrial S.A.,BR
E8-FF-98,Huawei Device Co._ Ltd.,CN
24-15-51,Huawei Device Co._ Ltd.,CN
58-95-7E,Huawei Device Co._ Ltd.,CN
B8-14-4D,Apple_ Inc.,US
EC-28-D3,Apple_ Inc.,US
AC-96-5B,Lucid Motors,US
08-65-18,Apple_ Inc.,US
2C-57-CE,Apple_ Inc.,US
C4-04-D8,Aviva Links Inc.,US
A0-44-F3,RafaelMicro,TW
F4-2B-7D,Chipsguide technology CO._LTD.,CN
8C-52-19,SHARP Corporation,JP
08-91-15,Amazon Technologies Inc.,US
74-D4-23,Amazon Technologies Inc.,US
E0-47-35,Ericsson AB,SE
